# fpcnt, time, flt_mode, hold_mode, hold_descent_cnt,  hold_climb_cnt, alt, gps_alt, delta_baro, ave_cr_val, flight_phase, r_fphase 
2,85954,0,0,0,0, 16224, 16225,  0.00,  8.00,  0.00,  0.00
3,85958,0,0,0,0, 16226, 16227,  0.00, 18.00,  0.00,  0.00
4,85963,0,0,0,0, 16226, 16227,  0.00, 18.00,  0.00,  0.00
5,85967,0,0,0,0, 16226, 16226,  0.00, 10.00,  0.00,  0.00
6,85972,0,0,0,0, 16224, 16225,  0.00, -8.00,  0.00,  0.00
7,85976,0,0,0,0, 16224, 16224,  0.00, -8.00,  0.00,  0.00
8,85981,0,0,0,0, 16222, 16222,  0.00,-16.00,  0.00,  0.00
9,85985,0,0,0,0, 16220, 16220,  0.00,-18.00,  0.00,  0.00
10,85990,0,0,0,0, 16216, 16217,  0.00,-34.00,  0.00,  0.00
11,85994,0,0,0,0, 16214, 16215,  0.00,-36.00,  0.00,  0.00
12,85999,0,0,0,0, 16212, 16212,  0.00,-34.00,  0.00,  0.00
13,86003,0,0,0,0, 16206, 16206,  0.00,-48.00,  0.00,  0.00
14,86008,0,0,0,0, 16201, 16202,  0.00,-58.00,  0.00,  0.00
15,86013,0,0,0,0, 16206, 16206,  0.00,-30.00,  0.00,  0.00
16,86017,0,0,0,0, 16215, 16215,135.00, 45.00,  0.00,  0.04
17,86022,0,0,0,0, 16223, 16224,  0.00, 97.00,  0.00,  0.08
18,86026,0,0,0,0, 16222, 16223,  0.00, 72.00,  0.00,  0.08
19,86039,0,0,0,0, 16212, 16212,  0.00, 11.67,  0.00,  0.08
20,86048,0,0,0,0, 16202, 16203,  0.00,-42.33,  0.00,  0.08
21,86062,0,0,0,0, 16218, 16219,  0.00,-14.67,  0.00,  0.08
22,86071,0,0,0,0, 16202, 16202,-106.67,-34.67,  0.00,  0.00
23,86084,0,0,0,0, 16224, 16225,101.54, 21.00,  0.00,  0.00
24,86093,0,0,0,0, 16219, 16220,  0.00,-12.67,  0.00,  0.00
25,86107,0,0,0,0, 16212, 16213,  0.00, 12.67,  0.00,  0.00
26,86111,0,0,0,0, 16213, 16213,  0.00,-16.00,  0.00,  0.00
27,86125,0,0,0,0, 16223, 16224,  0.00,  9.00,  0.00,  0.00
28,86129,0,0,0,0, 16228, 16228,  0.00, 44.00,  0.00,  0.00
29,86142,0,0,0,0, 16207, 16208,  0.00,  7.00,  0.00,  0.00
30,86151,0,0,0,0, 16209, 16210,  0.00, -2.67,  0.00,  0.00
31,86165,0,0,0,0, 16205, 16206,  0.00,-33.33,  0.00,  0.00
32,86174,0,0,0,0, 16210, 16210,  0.00,  9.67,  0.00,  0.00
33,86187,0,0,0,0, 16208, 16208,  0.00,  2.33,  0.00,  0.00
34,86196,0,0,0,0, 16201, 16201,  0.00, -7.33,  0.00,  0.00
35,86211,0,0,0,0, 16212, 16212,  0.00, -3.67,  0.00,  0.00
36,86220,0,0,0,0, 16207, 16208,  0.00,-11.67,  0.00,  0.00
37,86233,0,0,0,0, 16205, 16206,  0.00,  0.67,  0.00,  0.00
38,86242,0,0,0,0, 16204, 16204,  0.00,-16.00,  0.00,  0.00
39,86256,0,0,0,0, 16219, 16220,  0.00, 16.33,  0.00,  0.00
40,86265,0,0,0,0, 16214, 16214,  0.00,  8.33,  0.00,  0.00
41,86278,0,0,0,0, 16206, 16206,  0.00, -1.67,  0.00,  0.00
42,86287,0,0,0,0, 16212, 16213,  0.00, -9.67,  0.00,  0.00
43,86300,0,0,0,0, 16247, 16247,161.54, 55.00,  0.00,  0.11
44,86305,0,0,0,0, 16290, 16291,200.00,239.00,  0.00,  0.15
45,86318,1,0,0,0, 16329, 16330,180.00,285.67,  0.10,  0.26
46,86323,1,0,0,0, 16310, 16311,-200.00,156.00,  0.06,  0.22
47,86336,0,0,0,0, 16313, 16314,  0.00,-11.67,  0.00,  0.11
48,86345,0,0,0,0, 16319, 16320,  0.00,-58.33,  0.00,  0.04
49,86359,0,0,0,0, 16315, 16316,  0.00, 12.00,  0.00,  0.00
50,86368,0,0,0,0, 16318, 16318,  0.00, 14.33,  0.00,  0.00
51,86381,0,0,0,0, 16329, 16330,  0.00, 17.67,  0.00,  0.00
52,86390,0,0,0,0, 16327, 16327,  0.00, 19.00,  0.00,  0.00
54,13,0,0,0,0, 16328, 16328,  0.00, 21.00,  0.00,  0.00
55,26,0,0,0,0, 16324, 16324,  0.00, -1.67,  0.00,  0.00
56,35,0,0,0,0, 16322, 16323,  0.00, -1.67,  0.00,  0.00
57,48,0,0,0,0, 16321, 16322,  0.00,-11.67,  0.00,  0.00
58,57,0,0,0,0, 16322, 16322,  0.00, -3.67,  0.00,  0.00
59,71,0,0,0,0, 16311, 16311,  0.00,-15.00,  0.00,  0.00
60,80,0,0,0,0, 16319, 16319,  0.00,  4.00,  0.00,  0.00
61,93,0,0,0,0, 16325, 16325,  0.00, 11.00,  0.00,  0.00
62,102,0,0,0,0, 16320, 16320,  0.00, 15.67,  0.00,  0.00
63,117,0,0,0,0, 16334, 16334,  0.00, 16.67,  0.00,  0.00
64,126,0,0,0,0, 16340, 16340,  0.00, 21.00,  0.00,  0.00
65,139,0,0,0,0, 16318, 16318,-101.54, -1.67,  0.00,  0.00
66,148,0,0,0,0, 16316, 16317,  0.00,-24.67,  0.00,  0.00
67,162,0,0,0,0, 16318, 16319,  0.00,-35.33,  0.00,  0.00
68,171,0,0,0,0, 16326, 16327,  0.00, 16.00,  0.00,  0.00
69,184,0,0,0,0, 16326, 16327,  0.00, 20.33,  0.00,  0.00
70,193,0,0,0,0, 16313, 16313,  0.00,-11.00,  0.00,  0.00
71,207,0,0,0,0, 16335, 16336,  0.00,  2.67,  0.00,  0.00
72,216,0,0,0,0, 16326, 16326,  0.00,-17.33,  0.00,  0.00
73,229,0,0,0,0, 16279, 16280,-200.00,-60.67,  0.00, -0.11
74,238,0,0,0,0, 16191, 16191,-200.00,-287.33,  0.00, -0.19
75,251,2,0,0,0, 16014, 16015,-200.00,-539.33, -0.11, -0.30
76,260,2,0,0,0, 15902, 15902,-200.00,-716.00, -0.18, -0.37
77,269,2,0,0,0, 15798, 15798,-200.00,-751.67, -0.26, -0.45
78,278,2,0,0,0, 15709, 15710,-200.00,-677.33, -0.33, -0.52
79,292,2,0,0,0, 15555, 15555,-200.00,-648.67, -0.45, -0.64
80,301,2,0,0,0, 15454, 15455,-200.00,-642.00, -0.52, -0.71
81,314,2,0,0,0, 15309, 15309,-200.00,-667.33, -0.63, -0.82
82,323,2,0,0,0, 15197, 15197,-200.00,-696.00, -0.71, -0.89
83,336,2,0,0,0, 15042, 15042,-200.00,-710.00, -0.82, -1.00
84,345,2,0,0,0, 14935, 14935,-200.00,-724.67, -0.89, -1.00
85,358,2,0,0,0, 14782, 14782,-200.00,-711.33, -1.00, -1.00
86,367,2,0,0,0, 14676, 14677,-200.00,-708.33, -1.00, -1.00
87,381,2,0,0,0, 14510, 14510,-200.00,-707.67, -1.00, -1.00
88,390,2,0,0,0, 14402, 14403,-200.00,-712.33, -1.00, -1.00
89,403,2,0,0,0, 14275, 14275,-200.00,-672.33, -1.00, -1.00
90,412,2,0,0,0, 14250, 14250,-166.67,-490.67, -1.00, -1.00
91,427,2,0,0,0, 14260, 14261,  0.00,-237.33, -1.00, -1.00
92,431,0,1,285,0, 14281, 14281,200.00, 63.00, -1.00, -1.00
93,443,0,1,281,0, 14309, 14310,140.00,165.00, -1.00, -1.00
94,447,1,1,269,0, 14313, 14314,  0.00,171.67, -1.00, -1.00
95,459,0,1,265,0, 14274, 14275,-195.00,  1.67, -1.00, -1.00
96,463,0,1,253,0, 14209, 14209,-200.00,-370.00, -1.00, -1.00
97,472,2,0,0,0, 14049, 14049,-200.00,-745.33, -1.00, -1.00
98,476,2,0,0,0, 13973, 13974,-200.00,-1060.33, -1.00, -1.00
99,489,2,0,0,0, 13743, 13744,-200.00,-1089.00, -1.00, -1.00
100,497,2,0,0,0, 13527, 13527,-200.00,-1273.67, -1.00, -1.00
101,510,2,0,0,0, 13274, 13275,-200.00,-1282.67, -1.00, -1.00
